uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-01349,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-00466,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-02435,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00465,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-00839,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-00407,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-01154,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00038,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-00589,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-01944,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-01781,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00340,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,8,8,
nikluge-sa-2022-train-01638,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00651,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,7,7,
nikluge-sa-2022-train-01833,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00088,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00722,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-02717,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,0,0,
nikluge-sa-2022-train-00216,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,6,6,
nikluge-sa-2022-train-02272,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-00089,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-02843,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-01073,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-00942,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02211,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02916,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,6,6,
nikluge-sa-2022-train-00842,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-00389,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01452,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-01753,experiment_mini3_2__seed123_proposed,2026-02-03T09:29:46.332175Z,valid,unknown,False,False,False,False,False,1,1,
